order_id,sku,customer_id,order_date,quantity,unit_price,discount_percent,payment_method,order_status,store_city,gross_amount,discount_amount,net_amount
50,169630016-044-1,4005,1/12/2025,4,5801,15,Credit Card,PLACED,Kolkata,23204,3480.6,19723.4
51,186626958-330-2,3734,2/23/2025,2,2315,5,COD,SHIPPED,Kolkata,4630,231.5,4398.5
52,186626958-330-2,4005,5/13/2025,3,2315,10,Net Banking,SHIPPED,Chennai,6945,694.5,6250.5
53,169630016-044-1,1562,2/26/2025,1,5801,0,Credit Card,CANCELLED,Kolkata,5801,0,5801
54,186626958-330-2,2899,5/25/2025,2,2315,20,Debit Card,SHIPPED,Chennai,4630,926,3704
55,184208283-330-54,4638,4/22/2025,2,2481,15,Debit Card,DELIVERED,Ahmedabad,4962,744.3,4217.7
56,186626958-330-2,2267,2/16/2025,3,2315,20,COD,DELIVERED,Gurgaon,6945,1389,5556
57,186626958-330-2,3879,5/31/2025,1,2315,5,COD,DELIVERED,Gurgaon,2315,115.75,2199.25
58,169630016-044-1,2528,3/26/2025,2,5801,20,UPI,DELIVERED,Chennai,11602,2320.4,9281.6
59,169630016-044-1,4202,5/22/2025,4,5801,5,UPI,SHIPPED,Mumbai,23204,1160.2,22043.8
60,169630016-044-1,4556,3/7/2025,4,5801,20,UPI,DELIVERED,Kolkata,23204,4640.8,18563.2
61,184208283-330-54,4890,3/16/2025,4,2481,0,COD,DELIVERED,New Delhi,9924,0,9924
62,169630016-044-1,1646,6/28/2025,1,5801,0,COD,SHIPPED,Mumbai,5801,0,5801
63,189870341-712-2,3068,4/13/2025,2,3311,0,COD,SHIPPED,Ahmedabad,6622,0,6622
64,189870341-712-2,3888,6/15/2025,4,3311,0,Debit Card,DELIVERED,Bhubaneswar,13244,0,13244
65,169630016-044-1,3214,2/7/2025,1,5801,0,COD,DELIVERED,Kolkata,5801,0,5801
66,162799308-500-1,2297,2/19/2025,4,5801,0,Debit Card,PLACED,Kolkata,23204,0,23204
67,162799308-500-1,3435,4/8/2025,3,5801,5,UPI,DELIVERED,Bhubaneswar,17403,870.15,16532.85
68,184208283-330-54,1600,3/23/2025,2,2481,15,UPI,DELIVERED,Mumbai,4962,744.3,4217.7
69,162799308-500-1,3363,1/30/2025,2,5801,20,UPI,SHIPPED,New Delhi,11602,2320.4,9281.6
70,162799308-500-1,3061,3/20/2025,1,5801,0,Credit Card,CANCELLED,Ahmedabad,5801,0,5801
71,186626958-330-2,1241,4/1/2025,1,2315,5,Credit Card,DELIVERED,Ahmedabad,2315,115.75,2199.25
72,186626958-330-2,3041,6/28/2025,2,2315,5,Net Banking,DELIVERED,Ahmedabad,4630,231.5,4398.5
73,162799308-500-1,3824,2/21/2025,4,5801,5,Net Banking,DELIVERED,Gurgaon,23204,1160.2,22043.8
74,162799308-500-1,4417,6/15/2025,4,5801,15,Net Banking,PLACED,Mumbai,23204,3480.6,19723.4
75,162799308-500-1,3612,3/20/2025,3,5801,20,Credit Card,SHIPPED,Gurgaon,17403,3480.6,13922.4
76,162799308-500-1,3945,1/30/2025,4,5801,15,Credit Card,SHIPPED,Mumbai,23204,3480.6,19723.4
77,184208283-330-54,2363,4/16/2025,1,2481,10,Net Banking,SHIPPED,New Delhi,2481,248.1,2232.9
78,184208283-330-54,3139,2/20/2025,1,2481,5,Net Banking,SHIPPED,Chennai,2481,124.05,2356.95
79,184208283-330-54,2390,3/22/2025,4,2481,10,COD,DELIVERED,Gurgaon,9924,992.4,8931.6
80,169630016-044-1,4003,5/13/2025,1,5801,0,Net Banking,DELIVERED,Kolkata,5801,0,5801
81,184208283-330-54,2478,1/29/2025,2,2481,0,COD,DELIVERED,Kolkata,4962,0,4962
82,162799308-500-1,4499,5/12/2025,2,5801,15,Debit Card,DELIVERED,New Delhi,11602,1740.3,9861.7
83,162799308-500-1,3556,5/18/2025,4,5801,20,Credit Card,DELIVERED,Ahmedabad,23204,4640.8,18563.2
84,184208283-330-54,1775,5/25/2025,2,2481,10,Net Banking,SHIPPED,Kolkata,4962,496.2,4465.8
85,169630016-044-1,1034,3/15/2025,2,5801,20,Credit Card,SHIPPED,Kolkata,11602,2320.4,9281.6
86,184208283-330-54,3253,1/17/2025,3,2481,15,Credit Card,DELIVERED,Mumbai,7443,1116.45,6326.55
87,186626958-330-2,4152,3/25/2025,3,2315,0,Credit Card,DELIVERED,Chennai,6945,0,6945
88,186626958-330-2,2955,3/10/2025,2,2315,20,Debit Card,SHIPPED,Bhubaneswar,4630,926,3704
89,184208283-330-54,2585,2/3/2025,4,2481,20,UPI,DELIVERED,Ahmedabad,9924,1984.8,7939.2
90,162799308-500-1,4943,1/6/2025,3,5801,0,Net Banking,PLACED,Mumbai,17403,0,17403
91,189870341-712-2,4459,2/22/2025,1,3311,10,UPI,DELIVERED,Mumbai,3311,331.1,2979.9
92,186626958-330-2,4073,5/6/2025,1,2315,0,UPI,DELIVERED,Mumbai,2315,0,2315
93,189870341-712-2,2021,2/12/2025,1,3311,20,UPI,DELIVERED,Gurgaon,3311,662.2,2648.8
94,186626958-330-2,4461,4/25/2025,4,2315,10,Credit Card,CANCELLED,Gurgaon,9260,926,8334
95,189870341-712-2,3613,4/21/2025,2,3311,10,COD,DELIVERED,Bhubaneswar,6622,662.2,5959.8
96,189870341-712-2,2129,5/31/2025,1,3311,0,Credit Card,CANCELLED,Chennai,3311,0,3311
97,186626958-330-2,4843,3/21/2025,4,2315,20,Credit Card,CANCELLED,Bengaluru,9260,1852,7408
98,162799308-500-1,4893,4/5/2025,3,5801,15,UPI,DELIVERED,Kolkata,17403,2610.45,14792.55
99,162799308-500-1,2500,4/28/2025,2,5801,20,Credit Card,DELIVERED,Chennai,11602,2320.4,9281.6
100,186626958-330-2,1702,5/24/2025,3,2315,5,UPI,PLACED,Kolkata,6945,347.25,6597.75
101,162799308-500-1,3449,1/8/2025,4,5801,15,COD,SHIPPED,Chennai,23204,3480.6,19723.4
102,162799308-500-1,3777,5/12/2025,1,5801,10,Net Banking,DELIVERED,New Delhi,5801,580.1,5220.9
103,189870341-712-2,2579,4/14/2025,1,3311,15,UPI,SHIPPED,Bengaluru,3311,496.65,2814.35
104,189870341-712-2,1161,5/12/2025,4,3311,10,COD,SHIPPED,Gurgaon,13244,1324.4,11919.6
105,186626958-330-2,1201,1/25/2025,1,2315,10,Net Banking,CANCELLED,Ahmedabad,2315,231.5,2083.5
106,169630016-044-1,2981,4/6/2025,2,5801,15,Debit Card,DELIVERED,Ahmedabad,11602,1740.3,9861.7
107,169630016-044-1,1995,6/4/2025,4,5801,10,UPI,DELIVERED,Mumbai,23204,2320.4,20883.6
108,169630016-044-1,3317,4/3/2025,3,5801,10,UPI,SHIPPED,Bhubaneswar,17403,1740.3,15662.7
109,189870341-712-2,4934,6/9/2025,4,3311,5,Debit Card,PLACED,Mumbai,13244,662.2,12581.8
110,189870341-712-2,1815,6/27/2025,2,3311,20,Debit Card,PLACED,Bhubaneswar,6622,1324.4,5297.6
111,184208283-330-54,4342,3/2/2025,2,2481,20,UPI,SHIPPED,Gurgaon,4962,992.4,3969.6
112,162799308-500-1,1455,5/2/2025,4,5801,5,Debit Card,PLACED,Mumbai,23204,1160.2,22043.8
113,189870341-712-2,4533,2/20/2025,4,3311,15,Credit Card,PLACED,Chennai,13244,1986.6,11257.4
114,184208283-330-54,4798,5/27/2025,1,2481,0,Net Banking,CANCELLED,New Delhi,2481,0,2481
115,184208283-330-54,2275,1/21/2025,2,2481,0,Net Banking,DELIVERED,Chennai,4962,0,4962
116,184208283-330-54,2016,1/5/2025,4,2481,0,Net Banking,SHIPPED,Ahmedabad,9924,0,9924
117,162799308-500-1,4773,4/2/2025,4,5801,5,Credit Card,PLACED,Ahmedabad,23204,1160.2,22043.8
118,186626958-330-2,3343,6/19/2025,2,2315,5,Debit Card,DELIVERED,Kolkata,4630,231.5,4398.5
119,184208283-330-54,4796,3/2/2025,4,2481,10,COD,PLACED,Kolkata,9924,992.4,8931.6
120,186626958-330-2,3767,1/22/2025,1,2315,0,Debit Card,CANCELLED,Kolkata,2315,0,2315
121,162799308-500-1,4820,5/29/2025,2,5801,15,UPI,SHIPPED,Kolkata,11602,1740.3,9861.7
122,162799308-500-1,1337,3/11/2025,1,5801,15,Net Banking,SHIPPED,Mumbai,5801,870.15,4930.85
123,162799308-500-1,1878,1/1/2025,1,5801,0,Debit Card,SHIPPED,Bengaluru,5801,0,5801
124,184208283-330-54,2076,5/13/2025,1,2481,0,COD,PLACED,Gurgaon,2481,0,2481
125,169630016-044-1,1791,1/12/2025,1,5801,0,UPI,DELIVERED,Ahmedabad,5801,0,5801
126,184208283-330-54,4993,3/31/2025,2,2481,5,Credit Card,DELIVERED,Kolkata,4962,248.1,4713.9
127,184208283-330-54,3264,2/15/2025,1,2481,5,Credit Card,DELIVERED,Chennai,2481,124.05,2356.95
128,189870341-712-2,1763,2/3/2025,1,3311,5,COD,PLACED,Gurgaon,3311,165.55,3145.45
129,186626958-330-2,3235,6/26/2025,4,2315,20,UPI,DELIVERED,Bhubaneswar,9260,1852,7408
130,169630016-044-1,1379,3/19/2025,2,5801,15,Net Banking,DELIVERED,Bhubaneswar,11602,1740.3,9861.7
131,162799308-500-1,1492,2/14/2025,2,5801,15,Debit Card,DELIVERED,Mumbai,11602,1740.3,9861.7
132,189870341-712-2,4112,6/4/2025,3,3311,10,UPI,SHIPPED,Mumbai,9933,993.3,8939.7
133,186626958-330-2,2180,3/14/2025,2,2315,5,Credit Card,SHIPPED,Kolkata,4630,231.5,4398.5
134,189870341-712-2,3062,1/26/2025,2,3311,20,COD,DELIVERED,Ahmedabad,6622,1324.4,5297.6
135,162799308-500-1,4884,2/16/2025,3,5801,20,COD,DELIVERED,Ahmedabad,17403,3480.6,13922.4
136,184208283-330-54,1064,5/1/2025,2,2481,15,Debit Card,SHIPPED,Kolkata,4962,744.3,4217.7
137,162799308-500-1,4928,2/25/2025,2,5801,5,COD,SHIPPED,Bhubaneswar,11602,580.1,11021.9
138,169630016-044-1,4910,4/4/2025,2,5801,10,COD,SHIPPED,Bhubaneswar,11602,1160.2,10441.8
139,189870341-712-2,3568,4/17/2025,2,3311,5,UPI,DELIVERED,Gurgaon,6622,331.1,6290.9
140,184208283-330-54,2367,3/4/2025,3,2481,0,Net Banking,SHIPPED,Ahmedabad,7443,0,7443
141,184208283-330-54,2152,2/17/2025,2,2481,5,Debit Card,CANCELLED,New Delhi,4962,248.1,4713.9
142,169630016-044-1,3027,3/2/2025,2,5801,0,UPI,DELIVERED,Kolkata,11602,0,11602
143,186626958-330-2,3695,3/22/2025,3,2315,0,Net Banking,CANCELLED,Bengaluru,6945,0,6945
144,189870341-712-2,2495,1/26/2025,4,3311,10,UPI,DELIVERED,Ahmedabad,13244,1324.4,11919.6
145,189870341-712-2,4134,2/5/2025,1,3311,15,UPI,SHIPPED,Bengaluru,3311,496.65,2814.35
146,162799308-500-1,2162,1/1/2025,4,5801,5,COD,DELIVERED,Kolkata,23204,1160.2,22043.8
147,189870341-712-2,2522,1/8/2025,3,3311,0,Net Banking,PLACED,Bengaluru,9933,0,9933
148,189870341-712-2,3640,4/23/2025,1,3311,5,Debit Card,CANCELLED,Bengaluru,3311,165.55,3145.45
149,189870341-712-2,1391,4/9/2025,3,3311,15,Debit Card,DELIVERED,Ahmedabad,9933,1489.95,8443.05
150,162799308-500-1,2698,6/29/2025,3,5801,15,Net Banking,PLACED,Ahmedabad,17403,2610.45,14792.55
151,169630016-044-1,1418,2/16/2025,2,5801,20,COD,DELIVERED,Bhubaneswar,11602,2320.4,9281.6
152,186626958-330-2,3336,5/7/2025,1,2315,15,Credit Card,CANCELLED,Mumbai,2315,347.25,1967.75
153,169630016-044-1,1378,2/25/2025,2,5801,10,UPI,PLACED,Mumbai,11602,1160.2,10441.8
154,162799308-500-1,2796,1/14/2025,1,5801,0,COD,DELIVERED,New Delhi,5801,0,5801
155,169630016-044-1,4561,1/28/2025,3,5801,20,Net Banking,DELIVERED,Bhubaneswar,17403,3480.6,13922.4
156,169630016-044-1,3278,3/19/2025,3,5801,10,UPI,DELIVERED,Kolkata,17403,1740.3,15662.7
157,186626958-330-2,4065,5/10/2025,4,2315,5,Debit Card,SHIPPED,Bhubaneswar,9260,463,8797
158,162799308-500-1,3088,4/19/2025,1,5801,0,Credit Card,SHIPPED,Kolkata,5801,0,5801
159,189870341-712-2,4099,6/3/2025,2,3311,15,Debit Card,PLACED,Bengaluru,6622,993.3,5628.7
160,184208283-330-54,3182,1/14/2025,4,2481,0,Net Banking,DELIVERED,Bhubaneswar,9924,0,9924
161,162799308-500-1,1200,2/25/2025,4,5801,5,UPI,SHIPPED,Ahmedabad,23204,1160.2,22043.8
162,162799308-500-1,2863,4/25/2025,4,5801,20,Net Banking,CANCELLED,Bengaluru,23204,4640.8,18563.2
163,189870341-712-2,1779,1/7/2025,2,3311,20,UPI,PLACED,Chennai,6622,1324.4,5297.6
164,169630016-044-1,3977,1/3/2025,4,5801,20,COD,DELIVERED,Kolkata,23204,4640.8,18563.2
165,169630016-044-1,4104,4/21/2025,2,5801,15,Credit Card,PLACED,Chennai,11602,1740.3,9861.7
166,162799308-500-1,4119,5/31/2025,4,5801,10,COD,PLACED,Bhubaneswar,23204,2320.4,20883.6
167,184208283-330-54,1502,4/17/2025,2,2481,10,COD,SHIPPED,Bhubaneswar,4962,496.2,4465.8
168,189870341-712-2,3454,1/18/2025,3,3311,0,Net Banking,SHIPPED,Gurgaon,9933,0,9933
169,184208283-330-54,4645,2/7/2025,3,2481,15,Credit Card,DELIVERED,Mumbai,7443,1116.45,6326.55
170,189870341-712-2,2751,4/25/2025,3,3311,20,UPI,CANCELLED,Chennai,9933,1986.6,7946.4
171,162799308-500-1,1804,1/15/2025,3,5801,20,UPI,DELIVERED,Ahmedabad,17403,3480.6,13922.4
172,169630016-044-1,3146,4/29/2025,3,5801,5,Debit Card,CANCELLED,Kolkata,17403,870.15,16532.85
173,169630016-044-1,3731,1/28/2025,4,5801,5,UPI,DELIVERED,Mumbai,23204,1160.2,22043.8
174,184208283-330-54,2895,2/8/2025,4,2481,20,Net Banking,DELIVERED,New Delhi,9924,1984.8,7939.2
175,186626958-330-2,3773,1/17/2025,4,2315,20,COD,DELIVERED,Ahmedabad,9260,1852,7408
176,184208283-330-54,2570,3/27/2025,2,2481,15,COD,DELIVERED,Kolkata,4962,744.3,4217.7
177,169630016-044-1,1960,5/6/2025,2,5801,10,COD,PLACED,Bengaluru,11602,1160.2,10441.8
178,186626958-330-2,4810,2/13/2025,2,2315,5,Credit Card,DELIVERED,Bhubaneswar,4630,231.5,4398.5
179,169630016-044-1,3660,1/25/2025,2,5801,10,UPI,PLACED,Bhubaneswar,11602,1160.2,10441.8
180,189870341-712-2,2485,5/25/2025,3,3311,15,Net Banking,DELIVERED,Gurgaon,9933,1489.95,8443.05
181,169630016-044-1,3690,1/13/2025,3,5801,20,Credit Card,DELIVERED,Chennai,17403,3480.6,13922.4
182,186626958-330-2,4840,1/25/2025,3,2315,10,Debit Card,PLACED,Bhubaneswar,6945,694.5,6250.5
183,186626958-330-2,2028,3/9/2025,1,2315,20,Net Banking,SHIPPED,Kolkata,2315,463,1852
184,184208283-330-54,4289,5/18/2025,4,2481,20,Net Banking,CANCELLED,New Delhi,9924,1984.8,7939.2
185,162799308-500-1,1502,3/8/2025,2,5801,0,Net Banking,DELIVERED,Bengaluru,11602,0,11602
186,162799308-500-1,3814,4/19/2025,2,5801,10,COD,SHIPPED,Mumbai,11602,1160.2,10441.8
187,189870341-712-2,1397,5/26/2025,3,3311,10,Net Banking,DELIVERED,Chennai,9933,993.3,8939.7
188,184208283-330-54,1870,4/21/2025,2,2481,20,UPI,DELIVERED,Bhubaneswar,4962,992.4,3969.6
189,162799308-500-1,3842,4/21/2025,2,5801,15,Net Banking,DELIVERED,Kolkata,11602,1740.3,9861.7
190,184208283-330-54,1392,2/3/2025,4,2481,0,COD,CANCELLED,Mumbai,9924,0,9924
191,184208283-330-54,1206,4/21/2025,3,2481,20,Net Banking,DELIVERED,Bhubaneswar,7443,1488.6,5954.4
192,186626958-330-2,2038,1/8/2025,4,2315,5,Debit Card,SHIPPED,Kolkata,9260,463,8797
193,186626958-330-2,2881,6/17/2025,1,2315,5,Debit Card,DELIVERED,Bhubaneswar,2315,115.75,2199.25
194,169630016-044-1,4625,4/23/2025,1,5801,0,COD,DELIVERED,Gurgaon,5801,0,5801
195,186626958-330-2,3939,3/24/2025,1,2315,15,UPI,PLACED,Bengaluru,2315,347.25,1967.75
196,184208283-330-54,2484,2/11/2025,3,2481,20,UPI,SHIPPED,Bhubaneswar,7443,1488.6,5954.4
197,184208283-330-54,4762,6/18/2025,2,2481,10,Credit Card,SHIPPED,Bhubaneswar,4962,496.2,4465.8
198,169630016-044-1,4646,4/11/2025,3,5801,0,COD,DELIVERED,Bhubaneswar,17403,0,17403
199,184208283-330-54,1863,1/6/2025,3,2481,15,Net Banking,DELIVERED,New Delhi,7443,1116.45,6326.55
200,169630016-044-1,3790,6/29/2025,2,5801,10,COD,DELIVERED,Bengaluru,11602,1160.2,10441.8
201,162799308-500-1,4312,1/26/2025,4,5801,5,Credit Card,CANCELLED,Bhubaneswar,23204,1160.2,22043.8
202,162799308-500-1,1563,3/5/2025,1,5801,5,COD,DELIVERED,Bengaluru,5801,290.05,5510.95
203,189870341-712-2,2020,2/28/2025,4,3311,10,COD,PLACED,Ahmedabad,13244,1324.4,11919.6
204,169630016-044-1,1095,4/19/2025,1,5801,0,Credit Card,SHIPPED,Mumbai,5801,0,5801
205,189870341-712-2,2923,5/1/2025,3,3311,5,UPI,SHIPPED,Bengaluru,9933,496.65,9436.35
206,186626958-330-2,2757,2/2/2025,1,2315,20,Net Banking,SHIPPED,Mumbai,2315,463,1852
207,186626958-330-2,3532,5/30/2025,3,2315,10,Credit Card,DELIVERED,Bhubaneswar,6945,694.5,6250.5
208,162799308-500-1,4478,1/21/2025,4,5801,10,Debit Card,DELIVERED,Chennai,23204,2320.4,20883.6
209,189870341-712-2,3278,3/11/2025,3,3311,5,UPI,SHIPPED,Gurgaon,9933,496.65,9436.35
210,169630016-044-1,3796,4/22/2025,4,5801,0,Debit Card,DELIVERED,Bhubaneswar,23204,0,23204
211,186626958-330-2,2678,1/4/2025,2,2315,20,UPI,DELIVERED,Ahmedabad,4630,926,3704
212,162799308-500-1,4242,4/4/2025,2,5801,0,Net Banking,SHIPPED,Bhubaneswar,11602,0,11602
213,169630016-044-1,1540,3/16/2025,2,5801,15,Net Banking,PLACED,Bengaluru,11602,1740.3,9861.7
214,186626958-330-2,2059,3/3/2025,3,2315,15,COD,SHIPPED,New Delhi,6945,1041.75,5903.25
215,184208283-330-54,3572,4/4/2025,2,2481,5,Debit Card,PLACED,Bhubaneswar,4962,248.1,4713.9
216,189870341-712-2,2183,4/5/2025,1,3311,5,UPI,CANCELLED,Bhubaneswar,3311,165.55,3145.45
217,184208283-330-54,4910,6/1/2025,4,2481,5,Net Banking,PLACED,Bengaluru,9924,496.2,9427.8
218,186626958-330-2,2722,2/24/2025,4,2315,15,Credit Card,SHIPPED,Bhubaneswar,9260,1389,7871
219,189870341-712-2,4314,5/17/2025,1,3311,0,Net Banking,DELIVERED,Bengaluru,3311,0,3311
220,162799308-500-1,4157,5/11/2025,3,5801,0,Credit Card,CANCELLED,New Delhi,17403,0,17403
221,184208283-330-54,2819,1/31/2025,3,2481,5,UPI,PLACED,Bengaluru,7443,372.15,7070.85
222,184208283-330-54,3625,2/9/2025,4,2481,20,Net Banking,PLACED,Chennai,9924,1984.8,7939.2
223,184208283-330-54,3729,2/5/2025,2,2481,0,Net Banking,PLACED,Bhubaneswar,4962,0,4962
224,169630016-044-1,3604,6/1/2025,3,5801,15,UPI,PLACED,Gurgaon,17403,2610.45,14792.55
225,169630016-044-1,2597,1/6/2025,3,5801,10,Net Banking,SHIPPED,Chennai,17403,1740.3,15662.7
226,169630016-044-1,4060,3/7/2025,1,5801,10,Credit Card,DELIVERED,Ahmedabad,5801,580.1,5220.9
227,189870341-712-2,3693,3/16/2025,1,3311,10,Net Banking,SHIPPED,Bengaluru,3311,331.1,2979.9
228,184208283-330-54,1795,1/4/2025,2,2481,20,Debit Card,PLACED,Chennai,4962,992.4,3969.6
229,162799308-500-1,2051,3/20/2025,3,5801,5,COD,DELIVERED,Gurgaon,17403,870.15,16532.85
230,162799308-500-1,2643,5/14/2025,3,5801,15,Credit Card,SHIPPED,New Delhi,17403,2610.45,14792.55
231,186626958-330-2,4627,4/28/2025,1,2315,20,Debit Card,SHIPPED,Bhubaneswar,2315,463,1852
232,162799308-500-1,2363,4/23/2025,3,5801,15,UPI,SHIPPED,Mumbai,17403,2610.45,14792.55
233,169630016-044-1,4869,4/4/2025,4,5801,15,Credit Card,CANCELLED,New Delhi,23204,3480.6,19723.4
234,184208283-330-54,2981,6/28/2025,1,2481,5,COD,PLACED,Bhubaneswar,2481,124.05,2356.95
235,184208283-330-54,2354,3/3/2025,2,2481,10,COD,DELIVERED,Bhubaneswar,4962,496.2,4465.8
236,162799308-500-1,2663,3/20/2025,1,5801,5,UPI,DELIVERED,Mumbai,5801,290.05,5510.95
237,184208283-330-54,2529,5/16/2025,3,2481,20,UPI,PLACED,Bengaluru,7443,1488.6,5954.4
238,186626958-330-2,3038,1/26/2025,2,2315,20,Credit Card,CANCELLED,Kolkata,4630,926,3704
239,189870341-712-2,4419,6/28/2025,1,3311,20,Net Banking,SHIPPED,Ahmedabad,3311,662.2,2648.8
240,189870341-712-2,2496,6/22/2025,4,3311,5,UPI,PLACED,Gurgaon,13244,662.2,12581.8
241,162799308-500-1,4302,2/13/2025,4,5801,15,Net Banking,DELIVERED,New Delhi,23204,3480.6,19723.4
242,169630016-044-1,3237,5/13/2025,1,5801,15,Debit Card,DELIVERED,Bengaluru,5801,870.15,4930.85
243,189870341-712-2,4296,3/11/2025,4,3311,0,COD,DELIVERED,Bhubaneswar,13244,0,13244
